お客様からの質問,ますびと商店の回答
"お届け先を変更したい

お届け先変更の理由：記載の住所が前住所のため。","お客様
いつも大変お世話になっております。
当店にてお買い求めいただき誠にありがとうございます。
お届け先変更の旨、承知しました。
引き続きよろしくお願い申し上げます。
ますびと商店"
,
"キャンセルしたい

キャンセルの理由：ロッドの長さについて再検討したいので","お客様
いつも大変お世話になっております。
当店をご利用いただきありがとうございます。
ご注文キャンセルの旨、承知しました。
また機会がございましたらよろしくお願い申し上げます。
ますびと商店"
,
"キャンセルしたい

キャンセルの理由：カードの上限が来て購入できませんでした。","お客様
いつも大変お世話になっております。
当店をご利用いただきありがとうございます。
ご注文キャンセルの旨、承知しました。
また機会がございましたらよろしくお願い申し上げます。
ますびと商店"
,
"交換したい（店舗都合）

交換の理由：ハンドルを回す度に1cm程戻る（逆回転する）
※不具合がある商品の写真を添付してください","お客様
いつも大変お世話になっております。
当店をご利用いただきありがとうございます。
本件、ご不便をおかけし大変申し訳ございません。
恐れ入りますが、現品を確認のうえご対応させていただきたく存じます。
お手数ですが下記までご返送いただけますでしょうか。

〒180-0011
東京都武蔵野市八幡町1-1-3-203
ますびと商店
TEL：0422-66-2710

何卒よろしくお願い申し上げます。
ますびと商店"
,
"ツインパワーc2000sの商品が特別価格とそうでない商品があります。
何か商品に違いがありますか？","お客様
いつも大変お世話になっております。
お問い合わせありがとうございます。
仕入価格などの当店都合にて商品ページを分けておりますが、
手配させていただく商品は同じです。
何卒よろしくお願い申し上げます。
ますびと商店"
,
お忙しい中失礼いたします。アブガルシア エラディケーター リアルフィネス プロトタイプ ERFS-46Pro-ST こちらの商品の購入を検討しています。ますびと商店さんからの購入は初になりますので商品について質問をさせて下さい。こちらの商品は新品・未使用・未開封品でしょうか？（失礼な質問で申し訳ございません）　在庫は最後の１本でしょうか？　お手数をおかけいたしますが御返答宜しくお願い致します。,"お客様
いつも大変お世話になっております。
お問い合わせありがとうございます。
こちらの商品は新品未開封になります。
（当店は通販専門につき展示品はございません）
また、在庫は3本ございます。
ご検討の程よろしくお願い申し上げます。
ますびと商店"
,
"キャンセルしたい

キャンセルの理由：
間違えて購入してしまいました。","お客様
いつも大変お世話になっております。
当店をご利用いただきありがとうございます。
ご注文キャンセルの旨、承知しました。
また機会がございましたらよろしくお願い申し上げます。
ますびと商店"
,
"その他について確認したい

お世話になってます
前日購入したプレイズ600を本日
PEﾗｲﾝを上州屋で巻いてもらったら異音がすると言われました
とうぶん釣り行く予定がなくメーカーで見てもらいたいのですが、領収書が必要と言われました
領収書の発行をお願いできますか？","お客様
いつも大変お世話になっております。
当店にてお買い求めいただきありがとうございます。
本件、ご不便おかけし誠に申し訳ございません。
領収書は楽天市場内、ご注文履歴からダウンロードしていただけます。
何卒よろしくお願い申し上げます。
ますびと商店"
,
"キャンセルしたい

キャンセルの理由：誤って注文した・

お世話になっております。
現在ご注文済みの下記商品についてご相談がありご連絡差し上げました。
注文番号404987-20260324-0403515523

こちらの都合で大変申し訳ございませんが、この注文のキャンセルを希望しており
貴店では購入者都合でキャンセルをすることが可能かどうかお聞かせください。
キャンセル不可の条件がございましたら従いますので、ご教示いただければ幸いです。

お忙しいところ恐縮ですが、何卒よろしくお願い申し上げます。

ZenGroup株式会社　ナウモウタラス","お客様
いつも大変お世話になっております。
当店をご利用いただきありがとうございます。
ご注文キャンセルの旨、承知しました。
また機会がございましたらよろしくお願い申し上げます。
ますびと商店"
,
